epoch,acoustic_G_loss,visual_G_loss,text_G_loss,visual_D_loss,text_D_loss,acoustic_D_loss
3,0.3311124444007873,0.2823457717895508,3.072509527206421,0.4195825457572937,0.6484063863754272,0.8737840056419373
4,0.3390446007251739,1.2477364540100098,3.1443302631378174,0.3502147793769836,0.5105084776878357,0.4528462588787079
0,0.4279026985168457,0.3527030646800995,2.690218210220337,0.3933281302452087,0.5482531785964966,0.4778739809989929
1,0.4551998972892761,0.2799230515956878,0.2812641561031341,0.3626227974891662,0.5374845266342163,0.2896233201026916
2,0.4694765508174896,0.27674400806427,0.2819090187549591,0.377769410610199,0.5301826596260071,0.4163897931575775
3,0.4362079501152038,0.282771497964859,0.2951495945453644,0.3888433575630188,0.4271630048751831,0.9305084347724916
4,0.4227752387523651,0.3974891304969787,0.3112332820892334,1.67800772190094,0.4253804087638855,0.2889354825019836
0,0.455126941204071,0.2806304693222046,2.288007974624634,0.372926265001297,0.4783376455307007,0.2592158615589142
1,0.3327856063842773,0.9997885227203368,0.2939553558826446,0.3549951910972595,0.4222941398620605,0.4524587988853454
2,0.4889283776283264,0.4486593604087829,0.279161274433136,0.3766992092132568,0.4062685966491699,0.252770185470581
3,0.6418194770812988,2.6276063919067383,0.2624471485614776,0.3934204280376434,0.4001624286174774,0.2369621694087982
4,0.3452122509479522,0.2652447819709778,2.2771358489990234,0.2809748947620392,0.3570064306259155,0.7316375374794006
0,0.5265875458717346,1.610597848892212,0.2672649323940277,0.3667141795158386,0.3086661696434021,0.2394475489854812
1,0.5809851884841919,2.9329605102539062,0.2738574147224426,0.3609426021575928,0.460467517375946,0.2651594281196594
2,0.4492732584476471,0.2603683769702911,0.2603560388088226,0.4051684737205505,0.3505159616470337,0.3668641746044159
3,1.500920653343201,0.2843738198280334,0.2591885924339294,0.389708399772644,0.4462113380432129,0.2423009276390075
4,1.100125432014465,0.5057059526443481,0.2652696073055267,0.3144589066505432,0.3600634038448334,0.2928209006786346
0,0.9155776500701904,0.2580584585666656,0.2479199171066284,0.3697664737701416,0.386443555355072,0.2283896505832672
1,1.4476635456085205,0.2548101246356964,0.2397628277540207,0.3655940294265747,0.3533835411071777,0.9774694442749025
2,1.141350507736206,0.2601689994335174,0.2344064265489578,0.4670364260673523,0.3714699745178222,0.2486195862293243
3,1.1545175313949585,0.2663458287715912,0.2455661594867706,0.3937508463859558,0.3781885504722595,0.2700560688972473
4,1.2537930011749268,0.2342748641967773,0.2359576076269149,0.2945032119750976,0.3153254985809326,0.3857936561107635
0,1.0793888568878174,0.2325936406850814,0.238043412566185,0.3706201314926147,0.3743993937969208,0.4616191387176513
1,1.5491102933883667,0.2283398956060409,0.2250747233629226,0.3657891750335693,0.3687735497951507,0.3014660477638244
2,1.5067059993743896,0.2204235941171646,0.2197417318820953,0.4258023500442505,0.3854620456695556,0.3547500371932983
3,1.5722664594650269,0.2193329334259033,0.2268045842647552,0.4230615496635437,0.4136764109134674,0.6443820595741272
4,1.5857560634613037,0.2174336314201355,0.3587731719017029,0.3002703487873077,0.2963531613349914,0.5148180723190308
0,1.5633078813552856,1.446979284286499,0.2263883054256439,0.4118495285511017,0.4432119727134704,0.2225054204463958
1,1.5281643867492676,0.2354175746440887,0.2285610288381576,0.3827989995479584,0.3538197875022888,0.4102391004562378
2,1.44693124294281,0.233250543475151,0.2497835755348205,0.4636063277721405,0.3954353630542755,0.3525449931621551
3,1.3754163980484009,0.3026324808597564,0.2216083407402038,0.4181950688362121,0.3979558944702148,0.2254230231046676
4,1.3106348514556885,0.2277929186820984,0.595429003238678,0.3833031356334686,0.3136156797409057,0.62428879737854
0,1.2844009399414062,3.1251606941223145,0.2387889623641967,0.4004237353801727,0.3726012706756592,0.4197835028171539
1,1.059886813163757,0.2472936511039734,1.077184557914734,0.3681041002273559,0.2849039137363434,0.435184895992279
2,1.1257319450378418,0.2168039381504058,0.2473764568567276,0.4055056869983673,0.3115657567977905,0.280842512845993
3,0.9333032965660096,0.2289080917835235,0.3038966655731201,0.3804138898849487,0.4576542973518371,0.4045568108558655
4,1.2297720909118652,0.2252787500619888,1.0502992868423462,0.2598325610160827,0.3515751361846924,0.3184887766838074
0,1.433033108711243,0.2236768305301666,0.6376445293426514,0.3254992961883545,0.3729486465454101,0.306256890296936
1,1.0949534177780151,0.2735771536827087,1.035968780517578,0.3978563249111175,0.3203731775283813,0.3334612548351288
2,1.1884855031967163,0.2190695703029632,0.4192768633365631,0.2748870253562927,0.3352617025375366,0.3230607509613037
3,1.3777543306350708,0.2047085464000702,0.2258089631795883,0.2779355645179748,0.3662159144878387,0.2149444818496704
